player_id,name,season,position,league,club_name,age,minutes,games,goal_contributions_per90,market_value_eur,log_market_value,calib_resid_all,exit_prob,exit,next_minutes,pred_eur,mispricing_ratio,exit_prob_challenger
12282,Daley Blind,2024,Defender,Spain - LaLiga,Girona FC,34.81724845995893,2780,34,0.0971223021582733,1500000.0,14.22097566607244,0.34568436960757687,0.25202414405700146,0,2610.0,1108809.5035659494,0.7392063357106329,0.1830667018153016
14086,Ashley Young,2024,Defender,England - Premier League,Everton FC,39.48254620123203,1870,32,0.1925133689839572,500000.0,13.122363377404328,-0.8812275784336108,0.7301876855975862,1,0.0,1260537.7692248903,2.5210755384497805,0.6801457378675808
15452,Raúl Albiol,2024,Defender,Spain - LaLiga,Villarreal CF,39.3264887063655,1189,15,0.0,1300000.0,14.077874822431763,0.26407968691066896,0.5568613281870158,1,502.0,1042569.6940549952,0.8019766877346117,0.7134538063494085
16136,Dante,2024,Defender,France - Ligue 1,OGC Nice,41.20739219712526,1967,25,0.0,500000.0,13.122363377404328,-0.6383853804999484,0.5386393410607737,1,852.0,988554.3892120221,1.9771087784240442,0.6232910123084092
16306,Casemiro,2024,Midfield,England - Premier League,Manchester United,32.85694729637235,1498,24,0.0600801068090787,10000000.0,16.11809565095832,1.2745034575438057,0.38600166308953526,0,2589.0,2894116.596400259,0.2894116596400259,0.32724736273700467
17259,Manuel Neuer,2024,Goalkeeper,Germany - Bundesliga,Bayern Munich,38.76796714579056,1980,22,0.0,4000000.0,15.201804919084164,1.1998329079239336,0.3289592173400243,0,1860.0,1258502.2039354274,0.31462555098385686,0.34989302242580456
23951,Steve Mandanda,2024,Goalkeeper,France - Ligue 1,Stade Rennais FC,39.76454483230664,1486,18,0.0,500000.0,13.122363377404328,-0.9072959589982501,0.7022942432107074,1,0.0,1293761.7019696496,2.5875234039392994,0.814296445499136
27992,Luka Modrić,2024,Midfield,Spain - LaLiga,Real Madrid,39.31279945242984,1820,35,0.3956043956043956,4000000.0,15.201804919084164,0.5619133452236253,0.3213527920086861,0,2816.0,2368999.244419646,0.5922498111049115,0.3267776465086261
29692,Lukasz Fabianski,2024,Goalkeeper,England - Premier League,West Ham United,39.70704996577687,1161,14,0.0,500000.0,13.122363377404328,-0.6003391947542629,0.8137881432614049,1,0.0,951509.4960564012,1.9030189921128022,0.7992125033668553
32113,Armando Izzo,2024,Defender,Italy - Serie A,AC Monza,32.83504449007529,2439,30,0.07380073800738,1500000.0,14.22097566607244,-0.1537544994056237,0.393922950521291,1,0.0,1823161.1493974703,1.2154407662649802,0.29084689286300563
33571,Lorenzo De Silvestri,2024,Defender,Italy - Serie A,Bologna Football Club 1909,36.610540725530456,1065,18,0.0845070422535211,800000.0,13.592367006650065,-0.08915965459671993,0.6894209570348893,1,491.0,912947.4881527328,1.141184360190916,0.7275290843146508
38253,Robert Lewandowski,2024,Attack,Spain - LaLiga,FC Barcelona,36.36413415468857,2682,34,0.9731543624161072,12000000.0,16.300417207752275,-0.06261412048345782,0.09157280720836768,0,1656.0,12557389.587324094,1.0464491322770078,0.16336292944929395
39728,Mats Hummels,2024,Defender,Italy - Serie A,Associazione Sportiva Roma,36.04380561259411,918,14,0.0,2000000.0,14.50865773852422,0.6712809077932516,0.6153988898306746,1,0.0,1067499.5637698255,0.5337497818849127,0.6734961594774895
40633,Milan Badelj,2024,Midfield,Italy - Serie A,Genoa CFC,35.84941820670773,1487,23,0.0605245460659045,800000.0,13.592367006650065,-0.36030982020038227,0.6406559563174666,1,0.0,1198038.4389574295,1.497548048696787,0.6644815855085705
42205,Yann Sommer,2024,Goalkeeper,Italy - Serie A,Inter Milan,36.04106776180698,2970,33,0.0,4000000.0,15.201804919084164,1.0664247848596378,0.15621870328279594,0,2961.0,1437510.3048688916,0.3593775762172229,0.11763380602660517
43824,Kevin Müller,2024,Goalkeeper,Germany - Bundesliga,1. Fußballclub Heidenheim 1846,33.80150581793292,2940,33,0.0,700000.0,13.458835614025542,-1.1165651106374193,0.49418344016021926,1,0.0,2223104.16425789,3.1758630917969857,0.5501580031104094
44058,Wojciech Szczesny,2024,Goalkeeper,Spain - LaLiga,FC Barcelona,34.70773442847365,1350,15,0.0,1000000.0,13.815510557964274,-0.9085166767101636,0.6692803217428143,1,720.0,2573495.0014093337,2.573495001409334,0.6801707618067387
45403,André Ayew,2024,Attack,France - Ligue 1,Le Havre AC,35.04175222450377,1451,27,0.31013094417643,600000.0,13.304684934198283,-0.517122068594194,0.8133640167103494,1,0.0,1050975.027085687,1.7516250451428117,0.6850015991776407
45672,Kevin Trapp,2024,Goalkeeper,Germany - Bundesliga,Eintracht Frankfurt,34.48596851471595,2295,26,0.0,2500000.0,14.73180128983843,0.20142623624345912,0.31868776133126214,0,1980.0,2126496.619449297,0.8505986477797188,0.4454735150123546
46413,Ante Budimir,2024,Attack,Spain - LaLiga,CA Osasuna,33.44832306639288,2967,38,0.7583417593528816,5000000.0,15.424948470398377,-0.391727770383242,0.1582444034151679,0,2953.0,7446152.458879894,1.4892304917759787,0.18753627011535307
46580,Andrej Kramaric,2024,Attack,Germany - Bundesliga,TSG 1899 Hoffenheim,33.53867214236824,2781,32,0.6148867313915858,4000000.0,15.201804919084164,0.0962867752034211,0.20197719141465054,0,2223.0,3739262.482639041,0.9348156206597602,0.15944467930106593
48015,Lukas Hradecky,2024,Goalkeeper,Germany - Bundesliga,Bayer 04 Leverkusen,35.1047227926078,2610,29,0.0,2000000.0,14.50865773852422,-0.05463982452196525,0.3018737569119354,0,1441.0,2196721.2693143,1.09836063465715,0.35198095153400943
51471,Mateo Kovacic,2024,Midfield,England - Premier League,Manchester City,30.65845311430527,2203,31,0.3268270540172492,20000000.0,16.811242831518264,0.5044490557153711,0.19388908545136252,1,126.0,11902794.366034234,0.5951397183017118,0.16166066427420941
53622,İlkay Gündoğan,2024,Midfield,England - Premier League,Manchester City,34.19028062970568,2229,33,0.3230148048452221,5000000.0,15.424948470398377,0.10221896040886147,0.3455186015293465,1,0.0,4619662.176215595,0.923932435243119,0.29634813756739553
54906,Matteo Darmian,2024,Defender,Italy - Serie A,Inter Milan,35.082819986310746,1782,29,0.2525252525252525,2500000.0,14.73180128983843,0.5479813268041909,0.3564632322106685,1,246.0,1508487.5049025915,0.6033950019610366,0.5213895976116545
55089,Oliver Baumann,2024,Goalkeeper,Germany - Bundesliga,TSG 1899 Hoffenheim,34.5845311430527,2520,28,0.0,3000000.0,14.914122846632385,0.5531329142728758,0.24160113834648506,0,3060.0,1798514.736148773,0.599504912049591,0.17439747817486428
55508,Lewis Holtby,2024,Midfield,Germany - Bundesliga,Holstein Kiel,34.288843258042434,1235,25,0.145748987854251,500000.0,13.122363377404328,-0.5450125020822205,0.8360449424077104,1,0.0,900051.4357817188,1.8001028715634377,0.7927018599520589
