player_id,positive_drivers,negative_drivers
12282,league minutes (+0.160); 3-season average minutes (+0.122); league context (+0.105); minutes last season (+0.094); disciplinary record (+0.065),age (-1.938); goal contributions per 90 (-0.182); height (-0.152); minutes consistency (-0.085); goals per 90 (-0.063)
14086,league context (+0.352); seasons of top-5 history (+0.282); minutes last season (+0.063); position: Defender (+0.031); gap since last season (+0.025),age (-2.266); minutes per appearance (-0.070); 3-season average output (-0.048); position: Midfield (-0.044); change in assists/90 (-0.037)
15452,seasons of top-5 history (+0.372); height (+0.129); league context (+0.081); 3-season average minutes (+0.079); minutes last season (+0.056),age (-2.061); goal contributions per 90 (-0.203); league minutes (-0.172); 3-season average output (-0.074); goals per 90 (-0.049)
16136,seasons of top-5 history (+0.391); 3-season average minutes (+0.094); height (+0.077); minutes last season (+0.062); club squad rotation (+0.034),age (-2.215); goal contributions per 90 (-0.188); league context (-0.179); 3-season average output (-0.047); goals per 90 (-0.045)
16306,league context (+0.391); seasons of top-5 history (+0.216); 3-season average minutes (+0.077); position: Midfield (+0.071); minutes last season (+0.030),age (-1.179); goal contributions per 90 (-0.203); league minutes (-0.182); minutes per appearance (-0.060); height (-0.055)
17259,seasons of top-5 history (+0.336); height (+0.207); disciplinary record (+0.074); minutes last season (+0.057); club squad rotation (+0.043),age (-2.083); goal contributions per 90 (-0.145); league context (-0.114); minutes consistency (-0.072); goals per 90 (-0.057)
23951,seasons of top-5 history (+0.479); 3-season average minutes (+0.105); club squad rotation (+0.098); minutes last season (+0.073); disciplinary record (+0.071),age (-2.144); goal contributions per 90 (-0.182); league minutes (-0.097); league context (-0.081); goals per 90 (-0.054)
27992,seasons of top-5 history (+0.372); league context (+0.158); position: Midfield (+0.110); 3-season average output (+0.110); assists per 90 (+0.109),age (-2.208); minutes per appearance (-0.099); position: Defender (-0.020); disciplinary record (-0.009); contributions/90 last season (-0.005)
29692,seasons of top-5 history (+0.282); league context (+0.273); 3-season average minutes (+0.109); height (+0.103); minutes last season (+0.096),age (-2.150); gap since last season (-0.238); goal contributions per 90 (-0.195); league minutes (-0.175); goals per 90 (-0.082)
32113,seasons of top-5 history (+0.253); league minutes (+0.170); 3-season average minutes (+0.069); position: Defender (+0.028); gap since last season (+0.020),age (-1.159); goal contributions per 90 (-0.223); club squad rotation (-0.083); 3-season average output (-0.074); disciplinary record (-0.066)
33571,seasons of top-5 history (+0.384); 3-season average minutes (+0.093); minutes last season (+0.048); position: Defender (+0.039); height (+0.036),age (-2.015); gap since last season (-0.250); league minutes (-0.181); goal contributions per 90 (-0.138); minutes per appearance (-0.087)
38253,goal contributions per 90 (+0.975); 3-season average output (+0.371); seasons of top-5 history (+0.290); goals per 90 (+0.212); contributions/90 last season (+0.180),age (-2.063); position: Midfield (-0.031); assists per 90 (-0.030); position: Defender (-0.028); goals/90 last season (-0.020)
