dimension,segment,n,mean_residual,interpretation
position,Attack,379,0.0163,no material systematic bias
position,Defender,569,0.047,no material systematic bias
position,Goalkeeper,114,0.0301,no material systematic bias
position,Midfield,446,0.0895,model UNDER-values group
league,England - Premier League,315,0.304,model UNDER-values group
league,France - Ligue 1,267,0.0469,no material systematic bias
league,Germany - Bundesliga,271,-0.0454,no material systematic bias
league,Italy - Serie A,326,0.0473,no material systematic bias
league,Spain - LaLiga,329,-0.1069,model OVER-values group
age_band,<=21,98,0.5531,model UNDER-values group
age_band,22-24,329,0.164,model UNDER-values group
age_band,25-27,417,0.116,model UNDER-values group
age_band,28-30,345,-0.0998,model OVER-values group
age_band,31+,319,-0.1438,model OVER-values group
