feature,mean_abs_shap,share_pct
age,0.4726370349848956,21.1
goal_contributions_per90,0.21556654700128774,9.63
minutes,0.2020129851088713,9.02
league_France - Ligue 1,0.143347571083457,6.4
league_Germany - Bundesliga,0.12122200535700937,5.41
seasons_observed,0.1092470919462846,4.88
prev_minutes,0.08961704023441099,4.0
league_Italy - Serie A,0.08842338555519527,3.95
minutes_per_game,0.08610231206093275,3.84
roll3_mean_minutes,0.08425238465488864,3.76
club_squad_size,0.0747792264820782,3.34
league_Spain - LaLiga,0.07103086070511207,3.17
height_in_cm,0.05928842506913307,2.65
position_Midfield,0.056900890370780915,2.54
goals_per90,0.05365198401434336,2.4
prior_gap_years,0.047064003100221186,2.1
roll3_mean_goal_contributions_per90,0.03843157532987992,1.72
assists_per90,0.034556644411661196,1.54
position_Defender,0.03228518378419226,1.44
prev_goal_contributions_per90,0.028520268278229045,1.27
roll3_std_minutes,0.02431671936913693,1.09
cards_per90,0.023735589995984872,1.06
prev_assists_per90,0.019071774966122567,0.85
prev_goals_per90,0.014356870048355654,0.64
games,0.010457252508359079,0.47
roll3_std_goal_contributions_per90,0.007697934363086354,0.34
delta_minutes,0.007010603984848089,0.31
delta_goals_per90,0.006625961880508798,0.3
delta_assists_per90,0.006266580899128257,0.28
delta_goal_contributions_per90,0.005839960684846552,0.26
foot_left,0.003909657246021665,0.17
foot_right,0.0006614642360557995,0.03
position_Goalkeeper,0.0004258364840397663,0.02
young_and_improving,0.00021016699015843294,0.01
is_first_observed_season,5.4047624667792854e-05,0.0
age2,0.0,0.0
availability,0.0,0.0
has_prior_season,0.0,0.0
has_3yr_history,0.0,0.0
foot_unknown,0.0,0.0
