model,split,raw_vars,R2_relative,MAE_log_relative,R2,RMSE_log,MAE_log,median_pct_error,MAE_eur_millions
Model 0 / OLS,VALIDATION,4,0.3741,0.761,0.3719,0.9397,0.7609,59.3,9.74
Model 0 / OLS,TEST,4,0.383,0.7628,0.375,0.9529,0.7676,57.5,10.72
Model 0 / Ridge,VALIDATION,4,0.3742,0.7609,0.372,0.9397,0.7609,59.3,9.74
Model 0 / Ridge,TEST,4,0.3831,0.7628,0.3751,0.9528,0.7676,57.5,10.72
Model 0 / HistGBM,VALIDATION,4,0.3705,0.7636,0.3685,0.9422,0.7639,59.3,9.81
Model 0 / HistGBM,TEST,4,0.3751,0.7725,0.3664,0.9594,0.7781,58.0,10.87
Model 1 / OLS,VALIDATION,33,0.6775,0.5388,0.6775,0.6734,0.5387,44.2,7.09
Model 1 / OLS,TEST,33,0.6719,0.5564,0.6712,0.6912,0.5568,44.2,7.64
Model 1 / Ridge,VALIDATION,33,0.6776,0.5387,0.6776,0.6733,0.5386,44.2,7.09
Model 1 / Ridge,TEST,33,0.672,0.5563,0.6713,0.6911,0.5568,44.2,7.64
Model 1 / HistGBM,VALIDATION,33,0.6882,0.5306,0.6882,0.6621,0.5307,42.8,6.89
Model 1 / HistGBM,TEST,33,0.6783,0.5516,0.6765,0.6855,0.5543,43.9,7.6
Model 2 / OLS,VALIDATION,35,0.8501,0.3461,0.8498,0.4595,0.3471,27.2,4.78
Model 2 / OLS,TEST,35,0.8552,0.3362,0.8537,0.461,0.3388,26.4,4.81
Model 2 / Ridge,VALIDATION,35,0.85,0.3461,0.8498,0.4596,0.3471,27.2,4.78
Model 2 / Ridge,TEST,35,0.8551,0.3362,0.8537,0.4611,0.3389,26.5,4.8
Model 2 / HistGBM,VALIDATION,35,0.8854,0.3064,0.885,0.402,0.3072,23.8,4.09
Model 2 / HistGBM,TEST,35,0.8836,0.3072,0.8822,0.4137,0.3081,23.7,4.47
